s1,s2,label,de_pred,gpt_pred
時計がついている場所にパブリックマーケットセンターとかかれた看板が設置されています。,屋根の上に看板があり時計もついています。,1,1,0
キリンが、木の中から首を出しています。,キリンが木々のあいだから顔を出しています。,0,0,1
空港に、１機の飛行機が停まっています。,双翼プロペラの飛行機が駐機しています。,1,1,0
双翼プロペラの飛行機が駐機しています。,空港に、１機の飛行機が停まっています。,1,1,0
赤い消火栓のそばに幼児を抱えた女性がいる。,赤ちゃんと母親が消火栓を見ています。,1,1,0
赤ちゃんと母親が消火栓を見ています。,赤い消火栓のそばに幼児を抱えた女性がいる。,1,1,0
バイクに乗って通行している人がいます。,バイクに乗っている男性が一人います。,1,1,0
オートバイの人が、建物の見えるところを走っています。,バイクに乗って通行している人がいます。,0,0,1
バスルームに絵画が飾られています。,大きなタイル敷きのバスルームで、白い大きな浴槽の様子。,1,1,0
窓の向こうの部屋に時計が架かっています。,窓越しに壁にかけられた時計が見えます。,1,1,0
ソファーに座っている女の子の前で、犬が座っています。,ソファーに立っている。,2,2,1
ソファーに立っている。,ソファーに座っている女の子の前で、犬が座っています。,2,2,1
デスク上にはタブレットのみが置かれています。,デスクにノートパソコンなどが置かれている。,2,2,1
夜のスキー場には、沢山のライトがついていて、斜面をスキーで滑っている人がいます。,夜のゲレンデは、オレンジのライトでライトアップされています。,1,1,0
夜のゲレンデは、オレンジのライトでライトアップされています。,夜のスキー場には、沢山のライトがついていて、斜面をスキーで滑っている人がいます。,1,1,0
乗用車のボディーを、大小のぬいぐるみで飾ってあります。,ぬいぐるみで飾った車両は止まっています。,1,1,0
町並みを太陽が明るく照らしています。,建物に囲まれた場所に横断歩道があり、太陽の光が街にさしています。,1,1,0
女性が大きなピザを切ろうとしています。,女性がナイフとフォークを使い皿にのったピザを切っています。,1,1,0
猫がパソコンのマウスを捕獲しようとしている。,黒猫がパソコンのマウスを使って遊んでいます。,1,1,0
黒いTシャツを着た男性がテニスラケットを持って立っています。,黒いTシャツを着た男性がバットを持って立っています。,2,2,1
黒いTシャツを着た男性がバットを持って立っています。,黒いTシャツを着た男性がテニスラケットを持って立っています。,2,2,1
バットを肩の後ろに構えたバッターがいます。,グローブを肩の後ろに構えたキャッチャーがいます。,2,2,1
グローブを肩の後ろに構えたキャッチャーがいます。,バットを肩の後ろに構えたバッターがいます。,2,2,1
バットを振り下ろしたバッターがいます。,バットを肩の後ろに構えたバッターがいます。,2,2,1
大空を１機の飛行機が飛行しています。,ジェットコースターのレールの上空をジョット機が飛んでいます。,1,1,0
駅のホームに止まった列車の横に人が立っています。,列車の入っているホームに荷物を持った男性が立っています。,1,1,2
トイレの便座の左右に手すりが設置されています。,窓に柵のつけられたトイレの様子です。,1,1,0
２頭のクマが隣り合って座っています。,岩の上で二頭の熊が寄り添って伏せています。,1,1,0
黄色と赤の電車がホームに停車しているところです。,カラフルな電車が駅のホームに止まっています。,0,0,1
茶色の大きな建物の上部には、時計が１つあります。,たくさんの窓を持った時計付きの中世風の建物です。,1,1,0
雪山に三人の人がスキー姿で立っています。,スキー場の斜面に３人のスキーヤーがいます。,1,1,0
白いトイレにある洗面台のライトがついている。,全体が白で統一されているトイレに電気が点いています。,1,1,0
スキー板を持った人が雪の上に立っています。,雪原に4番のゼッケンを着けた青いウエアの人物が、スキーを外して自分の横に立てて持ってストックをもう片方の手に持って立っています。,1,1,0
雪原に4番のゼッケンを着けた青いウエアの人物が、スキーを外して自分の横に立てて持ってストックをもう片方の手に持って立っています。,スキー板を持った人が雪の上に立っています。,0,0,1
厨房でコンベアに乗ったドーナツが調理されています。,工場でコンベアに乗ったドーナツが箱詰めされています。,2,2,1
工場でコンベアに乗ったドーナツが箱詰めされています。,厨房でコンベアに乗ったドーナツが調理されています。,2,2,1
草むらの上に複数の羊が身を寄せ合っています。,草原に、羊が8頭放牧されています。,1,1,0
草原に、羊が8頭放牧されています。,草むらの上に複数の羊が身を寄せ合っています。,1,1,0
有刺鉄線の隙間から牛が鼻を出しています。,有刺鉄線の柵の内側に二頭のウシがいます。,1,1,0
有刺鉄線の柵の内側に二頭のウシがいます。,有刺鉄線の隙間から牛が鼻を出しています。,1,1,0
家の前の芝生の上に犬が座っています。,家の前の草むらに口を開けた犬が座っています。,1,1,2
白い建物が山の上にたてられています。,茶色い建物が道路わきにたてられています。,2,2,1
広場のゾウの像に女の子が乗っています。,広場のゾウの像に雪が積もっています。,2,2,1
広場のゾウの像に雪が積もっています。,広場のゾウの像に女の子が乗っています。,2,2,1
帽子をかぶった男性がぬいぐるみを抱えています。,男性が熊のぬいぐるみを抱きかかえています。,1,1,0
ソファーに座った3人の人と、車いすの男性がいます。,黒いソファに座った人と車いすに座った男性がリビングにいます。,1,1,0
白い木枠の窓の向こう側に、クロネコが座っています。,一匹の座ったネコが窓から見えます。,1,1,0
一匹の座ったネコが窓から見えます。,白い木枠の窓の向こう側に、クロネコが座っています。,1,1,2
様々なたくさんの船が港に停泊しています。,様々なたくさんの船が航行している。,2,2,1
様々なたくさんの船が航行している。,様々なたくさんの船が港に停泊しています。,2,2,1
ボートハウスにたくさんのボートが停泊しています。,船がたくさん停泊してある港町です。,1,1,0
河の向こうの陸地の上に建物が見えます。,手前には水面があり、奥の高台には時計台のある建物が見えます。,1,1,0
女性の横で小さな女の子がねむっています。,ベッドで女性と子供が寝ているところです。,1,1,0
ステーキやブロッコリーが皿に乗っています。,白い皿の上にステーキと野菜が盛られています。,1,1,0
道路の下に、バスが二台あります。,高架下に白い車体のバスが止まっています。,1,1,0
男の子が砂浜で凧あげをしています。,海辺で、男の子が凧をあげています。,0,0,1
山道を散策する人々の中で乗馬をしている人もいます。,森の中の未舗装路で馬に乗っている人がいます。,1,1,2
鏡にフラッシュをたいて写真を撮っている人が映っています。,洗面台に容器に入れた物が置いてあります。,1,1,0
壁紙の白い部屋の中にさまざまな家具が置かれています。,オレンジのベッドカバーのついたベッドと、机と青い椅子があります。,1,1,2
男の子の前に３枚のトーストが置いてあります。,女の子の前に３枚のトーストが置いてあります。,2,2,1
女の子の前に１０枚トーストが置いてあります。,女の子の前に３枚のトーストが置いてあります。,2,2,0
雪景色の中で大人2人と子供3人がスノーボードをしています。,雪上にスノーボードを履いている人たちがいます。,0,0,1
波の上で、サーフィンをしている人がいます。,海でサーフィンをしている人が３人います。,1,1,0
上半身裸の男性がサーフボードを乗せたバイクに乗っています。,上半身が裸でウェットスーツを下半身にだけ着ている人が、黒いスクーターにまたがっており、青いサーフボードがスクーターの横に積んであります。,1,1,2
皿の上にロールケーキやフォークなどが置かれていない。,皿の上にロールケーキやフォークなどが置かれています。,2,2,1
海でサーファーが波に乗っています。,海でサーファーがおぼれています。,2,2,1
海でサーファーがおぼれています。,海でサーファーが波に乗っています。,2,2,1
海でサーファーが波を待っています。,海でサーファーが波に乗っています。,2,2,1
白いテーブルの側に子供用の椅子があります。,台のついたベビーチェアに猫が乗っています。,1,1,0
草原で生えている木の側に象が集まっています。,草原でたくさんの象が歩いています。,1,1,0
男の子が、右バッターボックスでバットを振っています。,野球の試合で、少年がバッターボックスでバットを振っています。,1,1,0
野球の試合で、少年がバッターボックスでバットを振っています。,男の子が、右バッターボックスでバットを振っています。,1,1,0
金髪の女性が、ベンチで寝そべって本を読んでいます。,ベンチの上に女の人が横になって本を読んでいます。,0,0,1
ベンチの上に女の人が横になって本を読んでいます。,金髪の女性が、ベンチで寝そべって本を読んでいます。,1,1,0
プールサイドに黄色いビーチチェアがいくつか並んでいます。,プールサイドに七色のビーチチェアがいくつか並んでいます。,2,2,1
プールサイドに黄色いビーチチェアがいくつか並んでいます。,池の周りに黄色いビーチチェアがいくつか並んでいます。,2,2,1
プールサイドに七色のビーチチェアがいくつか並んでいます。,プールサイドに黄色いビーチチェアがいくつか並んでいます。,2,2,1
池の周りに黄色いビーチチェアがいくつか並んでいます。,プールサイドに黄色いビーチチェアがいくつか並んでいます。,2,2,0
野球の試合で打者がバットを構えています。,野球の打者がバットを構えている横には捕手と審判が構えており、右端に次の打者が控えています。,1,1,2
街路樹の間の通路に通行止めの立て看板が設置されていません。,街路樹の間の通路に通行止めの立て看板が設置されています。,2,2,1
草地の上で象が１頭歩いています。,草原で象が歩いているところです。,0,0,1
銀色の車の後ろにはたくさんのトランクが置いてあります。,道路脇に、たくさんの旅行用かばんが置かれています。,1,1,0
スケートボードの上に、片足だけ載せています。,片足をスケートボードに乗せている。,0,0,1
海の側の建物の近くにプールがあります。,海の前にプールがあるホテルが建っている。,1,1,2
踏み切りの中を車が通行しているところです。,踏み切りの中を自転車が通行しているところです。,2,2,1
踏み切りの中を自転車が通行しているところです。,踏み切りの中を車が通行しているところです。,2,2,1
踏み切りの中をお年寄りが通行しているところです。,踏み切りの中を車が通行しているところです。,2,2,1
若者2人が通りでスケートボードをしています。,路上でスケートボードで滑っている人をスケートボードに乗ったカメラマンが撮っています。,1,1,2
店内に沢山のサーフボードが展示されています。,木製の高い天井まで床から２０メートルくらいあります。,1,1,2
路上にある赤い消火栓を使って消火活動をしています。,青い消火栓から消火活動をしている。,2,2,0
消火栓からの消火活動が終わった。,路上にある赤い消火栓を使って消火活動をしています。,2,2,1
石の上に置いてある2台の携帯電話。,石の上に置いてある1台の携帯電話。,2,2,1
石の上に置いてある1台の携帯電話。,石の上に置いてある2台の携帯電話。,2,2,1
椅子の上に置いてある2台の携帯電話。,石の上に置いてある2台の携帯電話。,2,2,1
雪山の道で、青いスケートボードを手に持って、男性が立っています。,全身黒のウェアを着た男性が青いスノーボードを持って雪の中に立っています。,1,1,2
ガラス製の容器にさした花が飾られています。,ガラス製の容器にさした花が荒らされています。,2,2,1
ガラス製の容器にさした花が荒らされています。,ガラス製の容器にさした花が飾られています。,2,2,1
女性が公園でフリスビーを楽しんでいる。,女の子たちがフリスビーの取り合いをしています。,1,1,0
